site,date,beetles,blackflies,clams,common_netspinners,Crayfish,dragonflies_damselflies,flatworms,fw_shrimp,gilled_snails,gomphidae,hellgrammites,leeches,lunged_snails,mayflies,midges,most_caddisflies,most_frue_flies,other,scubs,sowbugs,stoneflies,true_bugs,worms
09-PL22-The-DR17,3/4/16,0,0,0,39,0,1,0,,0,,0,0,0,1,190,1,10,0,2,0,0,,4
09-PL22-The-DR17,7/7/16,5,10,0,235,0,1,1,,1,,0,0,4,7,236,46,6,0,0,0,0,,10
09-PL26-Hol-Holmes Run 2,4/12/15,64,1,3,257,,,5,,,,,,,,448,,1,,,,,,394
09-PL26-Hol-Holmes Run 2,7/12/15,34,33,3,224,,2,28,,,,,,,2,49,,3,,,,,,106
09-PL26-Hol-Holmes Run 2,10/11/15,157,1,2,6,,,105,,,,1,,,2,29,1,2,,,,3,,57
09-PL26-Hol-Holmes Run 2,1/17/16,21,7,3,7,,,65,,,,,1,,2,38,,6,,,,,,122
09-PL26-Hol-Holmes Run 2,4/17/16,15,17,2,15,,,2,,,,,,,3,508,1,,,,,2,,94
09-PL26-Hol-Holmes Run 2,7/17/16,69,71,,70,2,5,35,,,,,,,16,2,3,1,,,,4,,11
09-PL26-Hol-Holmes Run 2,10/16/16,104,7,0,35,0,5,18,,0,,4,0,0,3,50,0,2,,0,0,2,,8
09-PL29-Poh-POH2,6/17/15,21,,1,100,,,,,4,,,,5,13,20,2,13,,,,,,42
09-PL29-Poh-POH2,8/16/15,6,3,,105,,,1,,,,1,,,18,127,,2,,,,,,9
09-PL29-Poh-POH2,2/21/16,1,,,51,,1,,,,,2,1,,,3,1,9,,,,,,96
09-PL30-Acc-ACC2,10/10/16,,,,114,,2,,,,,,,,,,,1,,,,,,65
09-PL30-Acc-ACC6,3/29/15,4,2,1,32,,,,,,,,1,,,15,3,,10,,,2,,45
09-PL30-Acc-ACC6,6/28/15,1,,3,22,,,,,,,,,2,,,,,2,,,,,37
09-PL30-Acc-ACC9,2/8/15,,,15,246,,,,,,,,16,1,,11,,26,,,,,,46
09-PL30-Acc-ACC9,5/23/15,2,10,4,335,,,,,,,,9,4,67,417,,,,,,,,60
09-PL30-Acc-ACC9,1/3/16,,,26,168,,2,6,,,,,67,,,69,,8,,5,,,,50
09-PL43-Cat-Catharpin Run - Elaine Wilson,5/15/15,3,,,64,,,,,,,4,,2,17,131,9,3,,,,2,,
09-PL43-Cat-Catharpin Run - Elaine Wilson,8/24/15,71,,3,140,1,4,1,,,,1,,,36,1,1,,,,,4,,
09-PL43-Cat-Catharpin Run - Elaine Wilson,10/25/15,40,1,1,240,,,6,,,,2,,,19,16,16,1,,,,4,,
09-PL43-Cat-Catharpin Run - Elaine Wilson,4/17/16,15,,1,66,,2,,,,,,,1,74,294,2,,,,,12,,1
09-PL43-Cat-Catharpin Run - Elaine Wilson,7/10/16,54,3,4,155,,,,,,,3,,1,13,47,4,1,,,,2,,1
09-PL43-Cat-Catharpin Run - Elaine Wilson,10/16/16,119,2,1,569,,,,,,,8,,1,45,24,1,1,,,,5,,4
09-PL44-Bul-Bull Run - Manassas,4/26/15,89,14,,3,,8,,,,,1,,,7,111,12,3,,,,3,,
09-PL44-Bul-Bull Run - Manassas,7/12/15,67,3,,138,,,8,,,,47,,,2,35,33,6,,,,,,
09-PL44-Bul-Bull Run - Manassas,10/31/15,81,4,19,7,,13,20,,,,21,,5,4,,69,1,1,,,,,3
09-PL44-Bul-Bull Run - Manassas,4/2/16,143,4,2,1,,12,1,,,,7,,1,,54,5,2,,,,11,,3
09-PL45-Big-CR5,3/21/15,10,,7,18,1,3,14,,,,,,2,,68,21,3,,54,1,1,,6
09-PL45-Big-CR5,8/1/15,6,12,,92,,,42,,,,1,,,27,44,13,2,,,,,,7
09-PL45-Big-CR5,11/29/15,11,,7,,,,85,,,,,,10,3,20,,2,,1,,,,81
09-PL45-Cub-CR13,3/19/16,6,1,12,18,,6,3,,16,,,3,2,8,119,4,6,,2,,,,18
09-PL45-Cub-CR13,9/18/16,26,0,3,97,0,37,10,,1,,1,4,2,67,25,8,3,1,11,0,0,,25
09-PL45-Cub-CR6,2/28/15,,,,6,,5,,,,,3,,,47,144,,,,2,,,,12
09-PL45-Cub-CR6,8/15/15,12,,,63,,15,4,,,,1,8,,175,17,2,,,1,,,,23
09-PL45-Cub-CR6,11/25/15,3,1,29,87,,6,1,,11,,15,6,3,128,6,,1,1,9,,,,36
09-PL45-Wal-CR 11,6/18/15,24,,,118,1,1,,,,,1,,,2,7,132,3,3,13,1,2,,24
09-PL45-Wal-CR-11,11/10/16,4,,9,17,,5,,,,,1,,2,1,,,,1,,,,,3
09-PL48-Giles-GR1,8/25/16,145,,,101,,3,,,,,,,3,22,,,1,,1,,,,1
10-RA11-Nor-R-7,7/6/16,15,1,0,44,0,2,0,,0,,17,0,0,6,13,83,8,7,0,0,30,,13
10-RA11-Nor-R-7,10/11/16,20,0,0,28,0,0,0,,0,,14,0,0,26,4,10,3,0,0,0,15,,4
10-RA35-Cro-C-1,6/28/16,22,5,29,38,0,2,0,,0,,8,0,1,53,0,33,1,0,0,0,10,,10
10,4/13/15,59,2,9,0,0,0,0,,0,,6,0,1,32,0,88,2,,0,0,4,,0
10,10/31/15,18,0,0,42,2,0,0,,0,,0,0,8,79,0,58,0,,0,0,7,,0
10,10/14/16,53,0,0,55,0,0,0,,0,,8,1,0,29,7,49,1,0,0,0,11,,0
12-PS01-Mid-FOMR-MDL ? Godfrey,4/18/15,13,2,9,71,,,,,,,,,,15,79,1,12,,,,5,,34
12-PS01-Mid-FOMR-MDL ? Godfrey,4/16/16,39,2,13,69,,,6,,,,2,,3,,23,2,1,,,6,15,,154
12-PS01-Mid-FOMR-MDL ? Godfrey,9/24/16,192,,1,29,,5,1,,,,,,,9,6,3,,2,,,1,,53
12-PS01-Mid-FOMR-MDL ? Sweet,4/18/15,8,5,,35,2,,,,,,,,2,23,48,2,,,,103,,,
12-PS01-Mid-FOMR-MDL ? Sweet,4/10/16,61,,,144,1,,1,,1,,4,,2,92,38,48,7,,,247,41,,
12-PS01-Mid-FOMR-MDL ? Sweet,9/25/16,39,,,37,,,,,,,4,,,42,10,1,,,145,3,,,
12-PS02-Mid-FOMR-MDL ? Chittum,4/12/15,58,1,3,9,,2,,,5,,4,,,131,24,,2,,,,11,,
12-PS02-Mid-FOMR-MDL ? Chittum,10/18/15,192,2,,33,2,,,,33,,10,,1,25,5,4,6,,,,11,,
12-PS02-Mid-FOMR-MDL ? Chittum,4/10/16,4,,,7,,,,,5,,,,,160,124,4,1,,,,8,,2
12-PS02-Mid-FOMR-MDL ? Chittum,9/17/16,27,,,72,,2,,,33,,,,,39,9,10,33,,,,5,,3
12-PS03-Mid-FOMR-MDL 42,31 Shulman,13,7,,4,,,,,250,,,,,57,9,1,6,,,,3,,6
12-PS03-Mid-FOMR-MDL 42,31 Shulman,42,,1,17,,2,,,57,,8,,1,31,3,20,4,,1,,14,,4
12-PS03-Mid-FOMR-MDL 42,31 Shulman,43,22,2,35,,1,,,239,,3,,,152,30,1,2,,,1,7,,3
12-PS03-Mid-FOMR-MDL 42,31 Shulman,29,,,20,,2,2,,81,,8,,3,39,8,25,6,,,,5,,1
12-PS07-Mid-FOMR-MDL ? Cline Lane,4/10/15,50,5,5,42,,9,,,,,,,,87,9,12,1,,,,3,,5
12-PS07-Mid-FOMR-MDL ? Cline Lane,9/25/15,82,1,4,152,1,,,,79,,2,,,33,2,90,,,,,9,,4
12-PS07-Mid-FOMR-MDL ? Cline Lane,4/21/16,89,1,7,49,,1,2,,83,,,,,90,18,12,,,,,2,,
12-PS07-Mid-FOMR-MDL ? Cline Lane,9/23/16,47,,3,98,1,1,,,56,,1,,,24,4,92,,,,,6,,7
12-PS07-Mid-FOMR-MDL 32,01 River Ridge,83,12,20,45,,,,,136,,3,2,3,148,13,21,2,,,,22,,
12-PS07-Mid-FOMR-MDL 32,01 River Ridge,91,4,1,108,,,,,105,,5,4,,36,1,8,,,,,4,,
12-PS07-Mid-FOMR-MDL 32,01 River Ridge,59,1,15,73,,,,,91,,10,,,207,2,29,1,,,,15,,1
12-PS07-Mid-FOMR-MDL 32,01 River Ridge,47,,,110,,,,,120,,6,,,123,,9,,,,1,16,,2
12-PS11-Mid-FOMR-MDL 15,57 Dam Town,89,1,9,24,,,1,,6,,1,,,132,7,5,2,,,,24,,
12-PS11-Mid-FOMR-MDL 15,57 Dam Town,376,,,174,,1,,,33,,9,,,45,4,14,1,,,,37,,1
12-PS11-Mid-FOMR-MDL 15,57 Dam Town,217,,2,27,,,,,14,,3,,,288,5,9,1,,,,22,,1
12-PS11-Mid-FOMR-MDL 15,57 Dam Town,143,,1,38,1,3,,,115,,8,,,48,1,3,1,,,,28,,
12-PS71-Ced-CC7,12/8/16,0,43,0,1,5,0,0,,0,,6,0,0,10,11,22,2,0,0,0,201,,6
12-PS72-Ced-CC3,1/25/15,0,68,0,3,0,1,0,,0,,2,0,3,73,18,3,12,0,0,0,74.5,,3
12-PS72-Ced-CC3,1/25/15,,101,,4,,,,,,,,,,98,,6,28,,,,,,4
12-PS72-Ced-CC3,4/14/16,28,19,0,4,2,12,0,,15,,14,0,1,62,20,35,4,0,0,0,48,,2
12-PS72-Ced-CC3,7/19/16,32,2,0,4,0,3,0,,0,,9,0,0,49,0,13,7,0,0,0,21,,2
12-PS72-Ced-CC3,7/19/16,35,4,,29,,18,,,1,,15,,,70,,70,17,1,1,,23,,5
12-PS72-Ced-CC3,11/12/16,36,15,6,16,0,10,0,,11,,3,0,1,103,21,42,8,,0,0,25,,0
12-PS74-Ced-CC1,1/25/15,10,45,0,3,0,2,4,,9,,4,0,23,32,28,36,15,0,0,0,44,,1
12-PS74-Ced-CC1,1/25/15,16,47,,8,,2,4,,1,,7,,23,34,14,,28,,,,94,,1
12-PS74-Ced-CC1,1/25/15,17,54,,11,,2,4,,9,,9,,23,53,28,,34,,,,110,,1
12-PS74-Ced-CC1,5/18/16,4,35,0,3,0,0,0,,1,,1,0,0,90,14,5,4,0,0,0,14,,1
12-PS74-Ced-CC1,5/18/16,8,62,,5,,5,,,9,,4,,0,99,20,13,56,,,,29,,
12-PS74-Ced-CC1,5/18/16,48,64,,7,,6,,,10,,5,,1,163,95,17,59,,,,48,,
12-PS74-Ced-CC1,7/19/16,38,1,0,23,0,0,0,,4,,3,0,0,9,0,239,12,0,0,0,41,,0
12-PS74-Ced-CC1,7/19/16,49,9,1,95,,4,,,6,,5,,2,28,,286,21,,,,61,,1
12-PS74-Ced-CC1,11/12/16,1,4,0,3,0,0,0,,33,,0,0,0,109,3,9,6,0,0,0,13,,0
12-PS74-Ced-CC1,11/12/16,7,16,,33,,,,,,,3,,,188,150,27,6,,,,46,,11
13-JM01-Cow-Cowpasture - Walton Tract,6/20/15,60,1,1,48,0,2,1,,3,,3,0,0,44,3,21,4,0,0,0,23,,26
13-JM01-Cow-Cowpasture - Walton Tract,9/19/15,108,,10,72,,4,1,,67,,19,,,82,5,137,3,,,,39,,2
13-JM01-Cow-Cowpasture - Walton Tract,10/31/15,6,,8,28,,3,1,,120,,10,,,95,,19,6,,,,46,,5
13-JM01-Cow-Cowpasture - Walton Tract,7/19/16,123,,,41,,1,,,79,,3,1,1,29,,79,7,,,,26,,11
13-JM01-Cow-Cowpasture - Walton Tract,10/12/16,77,1,,10,,,,,46,,3,,,25,,25,,,,,11,,7
13-JU30-Cow-Liberty - CpR,7/1/15,46,1,0,11,6,0,0,,70,,1,0,0,47,14,4,11,0,0,0,3,,0
13-JU30-Cow-Liberty - CpR,11/22/15,6,2,,3,1,3,3,,,,4,,,97,6,15,2,,,,54,,9
13-JU30-Cow-Liberty - CpR,7/20/16,65,,,40,11,,1,,4,,17,,,133,4,11,13,1,,,17,,8
13-JU30-Cow-Liberty - CpR,10/30/16,39,,,65,1,3,,,53,,17,,,133,2,,9,,,,17,,3
13-JU34-Cow-Cowpasture - Windy Cove Lower,10/18/16,29,,13,35,,9,,,33,,11,,,51,,18,1,,,,5,,4
13-JU36-Cow-Cowpasture - Upper Sharon,6/9/16,61,,,66,,6,,,5,,26,,,72,,21,3,,,,49,,19
13-JU36-Cow-Cowpasture - Upper Sharon,7/17/16,38,,,19,,1,,,11,,1,,,58,,59,1,,,,17,,39
13-JU36-Cow-Cowpasture - Upper Sharon,10/15/16,108,,,3,,2,2,,18,,3,,,31,,5,3,,,,8,,19
13-JU63-Bul-Bullpasture - Clover Creek Lower,12/12/15,10,40,,310,,,,,6,,3,,,556,9,100,5,,,,52,,2
13-JU63-Bul-Bullpasture - Clover Creek Lower,7/13/16,42,2,5,139,3,,,,,,1,,,86,23,1,1,,,,27,,
13-JU63-Bul-Bullpasture - Clover Creek Lower,10/29/16,91,6,,262,,2,,,15,,3,,8,315,,4,3,,,,6,,
13-JU74-Mou-12-MOU-01,11/28/15,35,,,37,3,,,,,,,,,63,6,33,7,,,,29,,1
13-JU74-Mou-12-MOU-01,4/2/16,13,54,,,2,,,,,,,,,110,36,58,,,,,18,,
13-JU74-Mou-12-MOU-01,5/31/16,47,19,0,2,6,3,0,,0,,0,0,0,48,34,16,4,,0,0,28,,1
13-PS02-Bul-McDowell,8/5/15,45,2,,76,,,,,6,,1,,,75,15,9,18,2,,,8,,
13-PS02-Bul-McDowell,7/13/16,64,3,,60,,1,2,,6,,3,,,46,,,10,2,,,13,,6
13-PS02-Bul-McDowell,10/29/16,72,,,43,,2,,,22,,2,,,143,1,5,5,,,,7,,
14-PL24-LPim_LittlePimmit01,4/4/15,,,,101,,,2,,,,,1,,1,171,11,3,,,14,7,,7
14-PL24-LPim_LittlePimmit01,7/25/15,1,,,269,,,6,,,,,10,,52,37,3,2,,,5,83,,29
14-PL24-LPim_LittlePimmit01,9/5/15,,,,41,,3,67,,,,1,1,,84,186,27,2,,,3,,,13
14-PL24-LPim_LittlePimmit01,12/12/15,,,,100,,1,154,,,,,2,2,,56,11,8,,,4,,,15
14-PL24-LPim_LittlePimmit01,3/26/16,,,,,,,,,,,,,,,344,,,,,,,,5
14-PL24-LPim_LittlePimmit01,8/25/16,,,,94,,1,52,,,,,,,,112,30,,,,2,,,14
14-PL24-LPim_LittlePimmit01,11/23/16,1,,,52,,,8,,,,,2,,1,143,10,4,,3,3,2,,
15-PL23-Bull-BULL02,11/29/15,3,5,0,95,0,0,0,,0,,0,0,1,0,66,44,11,0,3,0,0,,2
15-PL23-Bull-BULL02,7/29/16,16,5,0,45,9,0,0,,5,,0,0,2,0,101,12,4,,2,4,0,,0
15-PL26-Cam-Cameron Run-Cam1,4/20/15,,3,3,31,,,,,,,,,14,,292,,3,,,,,,127
15-PL26-Cam-Cameron Run-Cam1,8/27/16,,4,,44,,,,,,,,,2,30,54,,4,,2,,,,75
15-PL30-Acc-ACC16,5/30/15,,12,,931,,,,,,,,,8,11,1041,5,10,,,,,,6
15,5/11/15,34,3,0,35,0,0,0,,0,,1,1,0,62,10,10,3,,0,0,12,,34
15,10/25/16,12,,0,117,1,0,0,,,,7,0,0,1,0,59,2,0,,0,3,,0
17,5/5/15,64,0,7,3,1,9,0,,0,,6,1,1,38,68,16,5,,0,2,13,,8
19,9/15/15,39,0,16,149,0,7,8,,1,,21,0,3,18,5,56,0,0,0,0,9,,9
19,10/24/16,15,0,11,77,,0,1,,0,,15,0,1,50,0,35,0,0,0,0,12,,7
21,5/26/15,39,9,2,7,0,0,1,,17,,1,0,0,48,4,7,1,0,0,0,60,,7
21,5/26/16,7,0,0,29,0,0,7,,0,,0,10,0,119,30,5,2,,0,0,29,,23
22,4/13/15,93,1,0,37,0,0,8,,0,,1,0,0,9,7,93,0,,0,0,18,,1
22,9/16/15,70,0,0,53,1,3,40,,0,,1,0,0,29,2,41,0,,0,0,5,,0
22,10/7/15,20,0,0,63,0,0,6,,0,,0,0,0,8,0,168,0,0,0,0,5,,1
22,4/14/16,48,40,0,31,0,0,0,,0,,0,0,0,29,56,38,1,0,0,0,104,,0
22,10/4/16,108,0,0,45,1,2,11,,0,,1,0,0,26,11,31,0,0,0,0,4,,0
3,5/28/15,50,33,5,31,0,5,0,,0,,5,0,13,20,0,65,0,,0,0,40,,2
3,5/30/16,19,1,1,30,3,2,3,,0,,2,1,1,110,1,11,2,,0,0,50,,6
3,10/31/16,11,0,0,18,0,2,9,,,,4,6,3,121,1,18,2,0,0,0,10,,15
7,5/14/15,19,0,0,36,0,8,0,,0,,11,0,0,70,0,27,3,,0,0,42,,10
7,10/29/16,18,0,0,121,0,0,1,,0,,3,2,0,5,0,54,,0,0,0,3,,0
8,5/30/15,23,38,3,0,1,0,0,,0,,11,0,0,20,36,12,0,,0,0,58,,2
9,4/25/15,13,0,0,104,0,3,0,,2,,2,0,0,28,45,0,0,,0,0,0,,3
9,10/27/15,9,1,2,196,0,0,6,,0,,5,6,0,30,0,33,0,0,0,0,3,,2
9,5/25/16,9,2,2,118,1,0,0,,0,,2,1,0,14,1,48,0,0,0,0,9,,3
9,10/28/16,16,0,4,142,0,0,1,,0,,5,0,0,22,0,12,,0,0,0,6,,1
ACC14,3/21/15,3,,8,277,,,,,,,,4,,,,,,,,,,,53
ACC14,6/13/15,,,1,966,1,,,,,,,5,,,120,,,,,,,,17
ACC14,9/12/15,,,1,244,,1,5,,,,,2,,,23,,,,,,,,18
ACC14,12/12/15,,,,261,,,,,,,,2,,,5,,,,,,,,131
ACC14,3/12/16,,,,3,,,,,,,,5,,,44,,,,,,,,166
ACC14,6/4/16,3,16,27,101,,,,,1,,,11,15,,12,,,,,,,,65
ACC14,9/10/16,,,,315,,,,,,,1,6,,,85,,1,,,1,,,27
ACC14,12/10/16,,1,3,215,1,,,,,,,4,2,,15,,3,,,,,,108
Accotink Creek - 09-PL30-Acc-ACC17,5/12/15,,,,,,1,,,,,,9,2,,203,,11,,,,,,5
Accotink Creek - 09-PL30-Acc-ACC17,9/16/16,,,,3,,85,,,,,,15,13,,80,,4,5,,,,,
Airport Creek-16-PL41-OCQ1,5/14/16,11,5,,24,,,,,,,,,,,334,1,,,,,,,3
Airport Creek-16-PL41-OCQ1,8/13/16,72,2,0,174,0,1,1,,0,,0,1,0,9,65,7,6,0,0,0,0,,9
BEAVER#3 - LWC#25,11/6/16,69,0,0,89,1,7,6,,1,,0,0,1,10,0,25,0,,17,0,10,,1
BR3 - LWC26,10/29/16,58,1,,7,0,0,117,,3,,1,0,0,6,14,7,1,,19,0,0,,7
Broad Run-Dawkins Branch-15-PL34-DB1,6/20/15,19,16,57,33,3,,57,,,,,,10,,42,17,,,19,,,,16
Broad Run-Dawkins Branch-15-PL34-DB1,9/19/15,23,12,48,,1,,38,,,,,2,11,,53,,,,39,,,,4
Broad Run-Dawkins Branch-15-PL34-DB1,7/19/16,285,3,20,,,,540,,,,,3,12,,33,,,,61,,,,
buffalo creek - kygers hill,3/17/16,9,15,0,0,3,0,0,,43,,0,0,0,116,30,5,5,0,0,0,3,,1
buffalo creek - kygers hill,3/30/16,14,18,0,0,2,1,0,,6,,0,0,0,111,21,5,4,0,0,0,17,,1
BULL01,12/5/15,,,1,111,,5,2,,1,,,,1,32,9,39,39,,5,,223,,27
C-5,7/14/16,33,12,1,100,0,4,0,,0,,1,0,0,42,6,42,9,0,0,0,47,,1
Catharpin Run - Nancy Berlin,8/15/15,76,,2,43,,15,70,,,,3,,6,39,13,19,,,,,,,1
CC-02,5/26/16,63,52,2,19,3,3,1,,0,,2,18,1,5,100,3,0,,9,0,1,,1
Cedar Run-15-PL38-Ced-R1,7/25/15,19,,29,72,1,3,1,,13,,18,,1,24,,41,2,,,,,,6
Cedar Run-15-PL38-Ced-R1,10/18/15,50,1,14,31,,,3,,43,,6,,3,34,4,117,4,,,,,,
Cedar Run-15-PL38-Ced-R1,3/26/16,46,418,,11,,2,2,,7,,5,,,30,83,7.5,,,,,16.5,,
Cedar Run-15-PL38-Ced-R1,7/9/16,39,4,27,114,1,3,1,,4,,8,,5,15,6,3,4,,,,,,5
Cedar Run-15-PL38-Ced-R1,11/12/16,21,,27,1,,1,26,,69,,,,30,,4,1,2,,,,,,46
Colvin Run - 09-PL22-Col-DR35,2/11/15,1,3,3,48,0,27,0,,0,,0,246,0,7,13,7,0,0,5,0,0,,4
Colvin Run - 09-PL22-Col-DR35,4/16/15,8,0,4,3,0,30,0,,0,,0,118,0,1,61,9,0,0,2,0,0,,2
