site,lat,long,water_body,city_county,state
15-PL23-Bull-BULL02,38.954207,-77.220462,Nichols Run-Potomac River,Fairfax County,Virginia
15-PL26-Cam-Cameron Run-Cam1,38.792967,-77.083527,Cameron Run,Fairfax County,Virginia
15-PL30-Acc-ACC16,38.821694,-77.263823,Accotink Creek,Fairfax County,Virginia
17,38.96556,-77.65556,Little River,Loudoun County,Virginia
19,39.0244,-77.685,Wancopin Creek-Goose Creek,Loudoun County,Virginia
21,38.98694,-77.79083,Wancopin Creek-Goose Creek,Loudoun County,Virginia
22,39.030833,-77.870278,Panther Skin Creek,Loudoun County,Virginia
3,38.93583,-77.87056,Crooked Run-Goose Creek,Fauquier County,Virginia
7,38.90528,-78.029722,Mitchells Branch-Goose Creek,Fauquier County,Virginia
8,38.9433,-77.89528,Crooked Run-Goose Creek,Fauquier County,Virginia
9,38.91306,-77.89056,Crooked Run-Goose Creek,Fauquier County,Virginia
ACC14,38.8046,-77.232,Accotink Creek,Fairfax County,Virginia
Accotink Creek - 09-PL30-Acc-ACC17,38.8227,-77.2229,Accotink Creek,Fairfax County,Virginia
Airport Creek-16-PL41-OCQ1,38.69378,-77.32346,Occoquan Reservoir-Occoquan River,Prince William County,Virginia
BEAVER#3 - LWC#25,39.024158,-77.496875,Beaverdam Run-Broad Run,Loudoun County,Virginia
BR3 - LWC26,39.05186,-77.432477,Beaverdam Run-Broad Run,Loudoun County,Virginia
Broad Run-Dawkins Branch-15-PL34-DB1,38.7541,-77.5564,Rocky Branch-Broad Run,Prince William County,Virginia
buffalo creek - kygers hill,37.750806,-79.556111,Buffalo Creek,Rockbridge County,Virginia
BULL01,38.96545,-77.2145,Nichols Run-Potomac River,Fairfax County,Virginia
C-5,38.526389,-78.172222,Sams Run-Hazel River,Rappahannock County,Virginia
Catharpin Run - Nancy Berlin,38.842616,-77.538629,Little Bull Run,Prince William County,Virginia
CC-02,38.231162,-78.570352,Lynch River-North Fork Rivanna River,Albemarle County,Virginia
Cedar Run-15-PL38-Ced-R1,38.63292,-77.58835,Walnut Branch-Cedar Run,Fauquier County,Virginia
Colvin Run - 09-PL22-Col-DR35,38.964,-77.3149,Difficult Run,Fairfax County,Virginia
CpR 13-JU30-Cow-CpR 59.8 Scotchtown Draft,38.15289,-79.5978,Scotchtown Draft-Cowpasture River,Bath County,Virginia
CR1,38.834722,-77.465278,Cub Run,Fairfax County,Virginia
Crooked Run Site 10,38.94694,-77.93806,Crooked Run-Goose Creek,Fauquier County,Virginia
Deweys Creek-16-PL52-OCQ1,38.57011,-77.29153,Quantico Creek,Prince William County,Virginia
Difficult Run-09-PL22-Dif-Difficult Run-DR38,38.9781,-77.2493,Difficult Run,Fairfax County,Virginia
DR04,38.911041,-77.35944,Difficult Run,Fairfax County,Virginia
DR12,38.919046,-77.263274,Difficult Run,Fairfax County,Virginia
DR25,38.8308,-77.1952,Cameron Run,Fairfax County,Virginia
F-1,38.72,-77.909167,Carter Run,Fauquier County,Virginia
F-10,38.704167,-77.838056,Great Run-Rappahannock River,Fauquier County,Virginia
F-14,38.76302,-77.98058,Thumb Run,Fauquier County,Virginia
F-15,38.45222,-77.62889,Deep Run-Rappahannock River,Fauquier County,Virginia
F-3,38.755833,-77.825278,Mill Run-Cedar Run,Fauquier County,Virginia
F-4,38.824692,-78.048267,Buck Run-Rappahannock River,Fauquier County,Virginia
G-5,38.3325,-78.398056,Conway River,Greene County,Virginia
Happy Creek 1,38.91667,-78.187417,Happy Creek,Warren County,Virginia
Hooes Run-15-PL47-HR-TVS1,38.67618,-77.29475,Occoquan Reservoir-Occoquan River,Prince William County,Virginia
JB1,37.58861,-77.49361,Upham Brook,Henrico County,Virginia
Jeffries Branch (GCA 26),39.053361,-77.873444,Panther Skin Creek,Loudoun County,Virginia
LC11,38.56462,-78.83325,Linville Creek,Rockingham County,Virginia
LC13,38.596429,-78.816109,Linville Creek,Rockingham County,Virginia
LC14,38.523456,-78.859686,Linville Creek,Rockingham County,Virginia
M-12,38.473056,-78.314722,Rose River-Robinson River,Madison County,Virginia
M-14,38.53222,-78.23667,Hughes River,Madison County,Virginia
M-3,38.37,-78.364722,Garth Run-Rapidan River,Madison County,Virginia
MILBOT1,37.495006,-79.767572,Mill Creek-Looney Creek,Botetourt County,Virginia
NC-NW-623,36.89228,-80.05911,,,
Neabsco Creek-15-PL49-Nbsco-AndrewLeitch1,38.656944,-77.375,Neabsco Creek,Prince William County,Virginia
Neabsco Creek-15-PL49-Nbsco-Clov1,38.619748,-77.322033,Neabsco Creek,Prince William County,Virginia
NFGOO4 - LWC7,39.118889,-77.7525,North Fork Goose Creek,Loudoun County,Virginia
North Fork Goose Creek (GCA 27),39.11669,-77.75008,North Fork Goose Creek,Loudoun County,Virginia
North Fork Goose Creek (GCA 28),39.10928,-77.73692,North Fork Goose Creek,Loudoun County,Virginia
North Fork Goose Creek (GCA 29),39.09262,-77.71569,North Fork Goose Creek,Loudoun County,Virginia
P2,38.96633,-77.173167,Nichols Run-Potomac River,Fairfax County,Virginia
P3,38.965167,-77.173667,Nichols Run-Potomac River,Fairfax County,Virginia
PHC05,38.7784,-77.3908,Lower Bull Run,Fairfax County,Virginia
Quantico Creek-South Fork-15-PL52-QC1,38.56752,-77.36497,Quantico Creek,Prince William County,Virginia
R-12,38.655555,-78.156667,Piney River-Thornton River,Rappahannock County,Virginia
R-13,38.653889,-78.131389,Piney River-Thornton River,Rappahannock County,Virginia
R-17,38.761667,-78.034167,Jordan River,Rappahannock County,Virginia
R-2,38.521944,-78.171667,Hughes River,Culpeper County,Virginia
R-3,38.71333,-78.15111,Covington River,Rappahannock County,Virginia
R-5,38.65722,-78.21611,Piney River-Thornton River,Rappahannock County,Virginia
South River at Irish Creek,37.812012,-79.316278,Lower South River,Rockbridge County,Virginia
South Run - 09-PL29-Sou-POH12,38.7431,-77.275,Pohick Creek,Fairfax County,Virginia
12-PS03-Mid-FOMR-MDL 42,,,,,
12-PS07-Mid-FOMR-MDL 32,,,,,
12-PS11-Mid-FOMR-MDL 15,,,,,
CpR 13-JU30-Cow-CpR 59,,,,,
